,date,unix,open,high,low,close,volume
50,2018-05-17 08:00:00,1526544000,697.99,701.29,695.51,698.45,1196.77
51,2018-05-17 09:00:00,1526547600,698.45,703.08,697.43,701.62,2371.56
52,2018-05-17 10:00:00,1526551200,701.62,702.6,695.07,699.03,2925.43
53,2018-05-17 11:00:00,1526554800,699.03,701.34,697.63,698.7,1385.25
54,2018-05-17 12:00:00,1526558400,698.7,704.49,694.91,696.61,1020.11
55,2018-05-17 13:00:00,1526562000,696.61,701.36,696.0,701.0,235.15
56,2018-05-17 14:00:00,1526565600,701.0,706.52,700.99,705.1,781.57
57,2018-05-17 15:00:00,1526569200,705.1,708.0,703.75,705.0,217.78
58,2018-05-17 16:00:00,1526572800,705.0,707.0,691.48,698.87,665.7
59,2018-05-17 17:00:00,1526576400,698.87,699.26,687.04,691.83,1842.89
60,2018-05-17 18:00:00,1526580000,691.83,691.83,677.98,681.46,2141.69
61,2018-05-17 19:00:00,1526583600,681.46,685.0,679.14,683.01,193.45
62,2018-05-17 20:00:00,1526587200,683.01,689.8,683.01,685.76,761.22
63,2018-05-17 21:00:00,1526590800,685.76,687.0,677.33,678.96,110.15
64,2018-05-17 22:00:00,1526594400,678.96,678.96,660.65,671.52,4184.55
65,2018-05-17 23:00:00,1526598000,671.52,674.96,663.76,669.04,1688.63
66,2018-05-18 00:00:00,1526601600,669.04,669.04,656.36,661.95,1616.39
67,2018-05-18 01:00:00,1526605200,661.95,671.13,657.62,665.98,793.09
68,2018-05-18 02:00:00,1526608800,665.98,672.54,663.7,669.16,909.64
69,2018-05-18 03:00:00,1526612400,669.16,674.52,669.16,669.24,315.09
70,2018-05-18 04:00:00,1526616000,669.24,679.99,669.24,674.19,1640.79
71,2018-05-18 05:00:00,1526619600,674.19,678.69,669.71,674.85,2093.9
72,2018-05-18 06:00:00,1526623200,674.85,675.02,667.0,667.99,579.15
73,2018-05-18 07:00:00,1526626800,667.99,680.99,666.19,677.18,3465.26
74,2018-05-18 08:00:00,1526630400,677.18,682.0,675.35,681.99,1920.31
75,2018-05-18 09:00:00,1526634000,681.99,682.27,678.57,680.99,373.62
76,2018-05-18 10:00:00,1526637600,680.99,684.0,679.32,682.46,589.34
77,2018-05-18 11:00:00,1526641200,682.46,683.99,674.6,682.17,741.54
78,2018-05-18 12:00:00,1526644800,682.17,683.31,677.95,680.42,567.56
79,2018-05-18 13:00:00,1526648400,680.42,681.54,674.6,676.69,319.49
80,2018-05-18 14:00:00,1526652000,676.69,676.69,666.78,671.99,621.66
81,2018-05-18 15:00:00,1526655600,671.99,680.0,669.26,676.0,1007.06
82,2018-05-18 16:00:00,1526659200,676.0,680.54,670.0,679.06,2739.33
83,2018-05-18 17:00:00,1526662800,679.06,682.11,676.61,678.79,225.12
84,2018-05-18 18:00:00,1526666400,678.79,687.99,676.2,686.93,662.62
85,2018-05-18 19:00:00,1526670000,686.93,691.34,684.39,689.29,781.43
86,2018-05-18 20:00:00,1526673600,689.29,691.25,685.5,687.02,711.04
87,2018-05-18 21:00:00,1526677200,687.02,690.76,686.45,689.32,72.93
88,2018-05-18 22:00:00,1526680800,689.32,691.98,687.23,691.57,93.39
89,2018-05-18 23:00:00,1526684400,691.57,694.96,690.04,692.54,162.58
90,2018-05-19 00:00:00,1526688000,692.54,696.0,683.78,688.62,462.11
91,2018-05-19 01:00:00,1526691600,688.62,690.33,683.2,686.99,220.18
92,2018-05-19 02:00:00,1526695200,686.99,690.0,685.06,688.22,534.29
93,2018-05-19 03:00:00,1526698800,688.22,696.25,685.8,693.45,829.01
94,2018-05-19 04:00:00,1526702400,693.45,696.43,690.0,690.24,131.31
95,2018-05-19 05:00:00,1526706000,690.24,691.89,690.0,691.59,127.48
96,2018-05-19 06:00:00,1526709600,691.59,693.5,688.1,689.48,143.37
97,2018-05-19 07:00:00,1526713200,689.48,689.48,683.0,683.94,509.45
98,2018-05-19 08:00:00,1526716800,683.94,690.99,683.94,690.8,415.56
99,2018-05-19 09:00:00,1526720400,690.8,692.16,688.88,690.52,171.8
100,2018-05-19 10:00:00,1526724000,690.52,696.46,689.64,694.97,403.57
101,2018-05-19 11:00:00,1526727600,694.97,710.0,693.7,709.19,1781.68
102,2018-05-19 12:00:00,1526731200,709.19,711.41,706.32,710.0,1358.95
103,2018-05-19 13:00:00,1526734800,710.0,716.93,703.54,704.66,1080.56
104,2018-05-19 14:00:00,1526738400,704.66,708.13,704.28,706.14,326.72
105,2018-05-19 15:00:00,1526742000,706.14,708.93,703.51,706.53,211.56
106,2018-05-19 16:00:00,1526745600,706.53,707.73,700.0,702.41,536.16
107,2018-05-19 17:00:00,1526749200,702.41,704.17,700.0,702.62,116.9
108,2018-05-19 18:00:00,1526752800,702.62,704.71,700.33,701.74,250.72
109,2018-05-19 19:00:00,1526756400,701.74,704.99,700.55,703.44,239.78
